,passenger_id,pclass,sex,age,fare,embarked,survived
1,699,3,male,38.0,8.6625,S,0
2,1267,3,female,30.0,24.15,S,0
3,449,2,female,54.0,23.0,S,1
4,576,2,male,40.0,13.0,S,0
5,1083,3,male,28.0,22.525,S,0
6,898,3,male,19.0,0.0,S,0
7,560,2,female,30.0,13.0,S,1
8,1079,3,female,22.0,7.775,S,1
9,908,3,female,21.0,9.825,S,0
10,313,1,male,27.0,211.5,C,0
11,43,1,female,60.0,76.2917,C,1
12,233,1,female,56.0,83.1583,C,1
13,446,2,female,20.0,23.0,S,1
14,602,3,male,16.0,20.25,S,0
15,884,3,male,48.0,7.8542,S,0
16,497,2,male,40.0,16.0,S,0
18,36,1,female,22.0,55.0,S,1
19,1088,3,male,32.0,7.775,S,1
20,978,3,male,27.0,8.6625,S,1
22,438,2,female,24.0,65.0,S,1
23,766,3,male,25.0,7.8958,S,0
24,661,3,female,18.0,8.05,S,1
25,556,2,male,27.0,26.0,S,0
26,1008,3,female,35.0,7.75,Q,0
27,575,2,female,27.0,21.0,S,0
29,162,1,male,42.0,52.0,S,0
32,737,3,male,19.0,8.1583,S,0
34,420,2,male,21.0,11.5,S,0
35,601,3,male,13.0,20.25,S,0
36,877,3,female,27.0,7.925,S,0
37,249,1,male,13.0,262.375,C,1
39,407,2,female,29.0,26.0,S,1
40,1169,3,male,38.5,7.25,S,0
42,275,1,female,40.0,134.5,C,1
43,87,1,male,27.0,30.5,S,1
44,148,1,male,45.0,83.475,S,0
45,1239,3,male,34.0,8.05,S,0
48,689,3,male,22.0,7.25,S,0
49,330,2,male,57.0,13.0,S,0
50,540,2,female,2.0,26.0,S,1
52,139,1,female,58.0,153.4625,S,1
54,1148,3,male,35.0,7.125,S,0
56,817,3,male,22.0,8.05,S,0
57,142,1,male,46.0,79.2,C,0
58,570,2,female,50.0,10.5,S,1
59,55,1,female,14.0,120.0,S,1
60,50,1,female,58.0,512.3292,C,1
61,447,2,male,23.0,11.5,S,0
62,173,1,male,32.5,211.5,C,0
64,719,3,male,18.0,8.05,S,1
65,273,1,male,6.0,134.5,C,1
66,710,3,female,37.0,7.75,Q,0
67,762,3,male,1.0,20.575,S,1
68,950,3,male,29.0,9.4833,S,0
69,268,1,male,24.0,60.0,S,0
70,355,2,female,36.0,13.0,S,1
71,504,2,male,39.0,13.0,S,0
72,57,1,female,36.0,120.0,S,1
73,712,3,male,24.0,8.05,S,0
74,600,3,male,42.0,7.55,S,0
75,821,3,male,33.0,20.525,S,0
76,634,3,male,26.0,7.8958,S,0
77,970,3,male,20.0,7.925,S,1
78,1093,3,male,16.0,9.2167,S,0
80,848,3,male,41.0,14.1083,S,0
81,182,1,female,30.0,106.425,C,1
82,185,1,male,42.0,26.55,S,0
83,716,3,male,26.0,14.4542,C,0
84,722,3,male,24.0,7.4958,S,0
85,744,3,male,19.0,10.1708,S,0
86,1091,3,female,20.0,8.6625,S,0
88,1139,3,male,38.0,7.8958,S,0
89,824,3,male,38.0,7.05,S,0
90,296,1,female,39.0,110.8833,C,1
91,708,3,male,24.0,7.8542,S,0
92,698,3,male,18.0,8.6625,S,0
93,938,3,male,18.0,7.8542,S,0
95,150,1,male,40.0,0.0,S,0
97,1304,3,female,14.5,14.4542,C,0
99,793,3,male,47.0,7.25,S,0
100,704,3,male,21.0,8.05,S,0
104,399,2,male,42.0,32.5,S,0
105,1228,3,male,31.0,7.925,S,1
106,448,2,male,36.0,13.0,S,0
110,761,3,male,16.0,9.5,S,0
111,385,2,male,8.0,36.75,S,1
112,496,2,male,30.0,13.0,S,0
113,229,1,female,17.0,108.9,C,1
114,170,1,male,49.0,0.0,S,1
115,947,3,female,22.0,7.25,S,1
116,668,3,male,22.0,8.05,S,0
117,1237,3,male,24.0,7.7958,S,0
118,764,3,male,26.0,20.575,S,0
119,654,3,male,20.0,7.225,C,0
120,181,1,female,49.0,25.9292,S,1
121,1129,3,male,25.0,7.775,S,0
122,337,2,female,19.0,26.0,S,1
123,329,2,female,36.0,26.0,S,1
124,405,2,male,18.0,13.0,S,0
125,98,1,female,48.0,106.425,C,1
126,558,2,female,18.0,13.0,S,1
127,1130,3,female,18.0,7.775,S,0
128,309,1,female,31.0,164.8667,S,1
130,202,1,male,36.0,26.2875,S,1
131,827,3,male,11.0,46.9,S,0
132,186,1,female,55.0,27.7208,C,1
134,960,3,male,34.5,6.4375,C,0
135,408,2,male,18.0,10.5,S,0
137,546,2,female,28.0,13.0,S,1
138,356,2,male,25.0,13.0,S,0
139,1307,3,male,27.0,7.225,C,0
142,1049,3,male,20.0,15.7417,C,1
143,86,1,male,51.0,26.55,S,1
144,343,2,male,34.0,13.0,S,1
145,896,3,male,49.0,0.0,S,0
146,419,2,male,21.0,11.5,S,0
149,433,2,male,30.0,10.5,S,0
150,68,1,male,45.0,29.7,C,1
151,763,3,female,0.1667,20.575,S,1
153,782,3,male,65.0,7.75,Q,0
154,228,1,male,18.0,108.9,C,0
155,850,3,male,21.0,7.8542,S,0
156,751,3,male,25.0,7.8958,S,0
157,1301,3,male,45.5,7.225,C,0
159,508,2,male,54.0,14.0,S,0
160,83,1,female,64.0,26.55,S,1
161,592,2,male,36.0,27.75,S,0
162,814,3,male,25.0,7.7417,Q,0
163,1272,3,male,47.0,9.0,S,0
164,1111,3,male,0.75,13.775,S,0
165,138,1,male,38.0,153.4625,S,0
168,720,3,male,24.0,7.25,Q,0
169,193,1,female,15.0,211.3375,S,1
170,870,3,female,27.0,7.925,S,1
171,180,1,female,39.0,211.3375,S,1
175,485,2,male,36.0,12.875,C,0
176,949,3,male,26.0,56.4958,S,1
177,14,1,male,80.0,30.0,S,1
178,3,1,male,30.0,151.55,S,0
179,1281,3,male,22.0,9.0,S,0
180,624,3,female,2.0,31.275,S,0
181,868,3,male,43.0,6.45,S,0
182,327,2,male,25.0,10.5,S,0
184,211,1,male,47.0,42.4,S,0
185,549,2,male,3.0,18.75,S,1
186,673,3,male,20.0,4.0125,C,0
189,525,2,male,23.0,10.5,S,0
190,1068,3,male,61.0,6.2375,S,0
191,741,3,male,22.5,7.225,C,0
192,395,2,female,18.0,23.0,S,1
193,1108,3,male,19.0,14.5,S,0
194,735,3,female,36.0,15.9,S,1
196,1097,3,male,6.0,21.075,S,0
197,1145,3,male,8.0,29.125,Q,0
199,831,3,male,40.0,46.9,S,0
200,128,1,male,47.0,38.5,S,0
201,797,3,male,40.5,7.75,Q,0
202,825,3,male,9.0,46.9,S,0
203,12,1,female,24.0,69.3,C,1
204,1207,3,male,10.0,27.9,S,0
206,159,1,female,16.0,57.9792,C,1
207,1294,3,male,28.5,16.1,S,0
208,1141,3,male,10.0,29.125,Q,0
209,131,1,female,45.0,59.4,C,1
211,424,2,male,30.0,13.0,S,0
212,1222,3,male,33.0,8.6625,C,0
213,344,2,female,19.0,13.0,S,1
214,844,3,male,28.0,15.85,S,0
215,1066,3,male,28.5,7.2292,C,0
216,1144,3,male,2.0,29.125,Q,0
217,19,1,male,36.0,75.2417,C,0
219,1299,3,male,27.0,14.4542,C,0
220,27,1,female,19.0,91.0792,C,1
221,53,1,male,17.0,47.1,S,0
222,596,2,male,31.0,13.0,S,1
223,236,1,male,22.0,135.6333,C,0
224,300,1,male,61.0,33.5,S,0
225,1275,3,male,16.0,18.0,S,0
226,1187,3,female,1.0,16.7,S,1
227,21,1,female,47.0,52.5542,S,1
229,112,1,female,28.0,263.0,S,1
230,149,1,female,35.0,83.475,S,1
231,10,1,male,47.0,227.525,C,0
236,230,1,female,30.0,93.5,S,1
237,1098,3,female,3.0,21.075,S,0
238,713,3,male,21.0,7.7333,Q,0
239,200,1,male,46.0,75.2417,C,0
240,541,2,female,8.0,26.0,S,1
241,1279,3,female,14.0,7.8542,S,0
242,381,2,female,30.0,13.0,S,0
243,451,2,male,44.0,26.0,S,0
244,5,1,male,48.0,26.55,S,1
246,907,3,female,20.0,9.825,S,0
247,115,1,male,64.0,263.0,S,0
248,548,2,male,0.8333,18.75,S,1
250,124,1,female,48.0,79.2,C,1
251,317,1,male,21.0,61.3792,C,1
252,538,2,male,30.0,12.7375,C,1
253,324,2,female,28.0,24.0,C,1
254,663,3,male,26.0,7.8958,S,0
255,100,1,male,49.0,56.9292,C,1
256,498,2,male,32.0,13.5,S,0
257,56,1,male,36.0,120.0,S,1
258,937,3,female,1.0,12.1833,S,0
259,1147,3,female,22.0,39.6875,S,0
260,391,2,male,29.0,27.7208,C,0
262,362,2,female,35.0,21.0,S,1
263,155,1,female,52.0,93.5,S,1
264,325,2,male,30.0,13.0,S,0
265,773,3,male,42.0,8.6625,S,0
266,753,3,male,22.0,8.05,S,0
267,1181,3,male,24.0,9.325,S,0
268,209,1,male,30.0,57.75,C,1
270,618,3,male,35.0,8.05,S,0
271,1102,3,male,7.0,39.6875,S,0
272,968,3,male,36.0,15.55,S,0
273,1191,3,male,20.0,8.05,S,0
274,393,2,male,25.0,31.5,S,0
275,652,3,male,23.0,7.8542,S,0
276,506,2,male,70.0,10.5,S,0
278,1230,3,female,2.0,10.4625,S,0
280,1273,3,female,18.0,18.0,S,0
281,1100,3,female,29.0,21.075,S,0
282,379,2,female,31.0,26.25,S,1
283,643,3,female,5.0,31.3875,S,1
285,258,1,female,30.0,31.0,C,1
287,966,3,female,25.0,7.775,S,0
288,307,1,male,21.0,77.2875,S,0
289,2,1,female,2.0,151.55,S,0
290,687,3,female,20.0,7.8542,S,0
291,479,2,female,3.0,41.5792,C,1
292,914,3,male,33.0,7.8542,S,0
294,1240,3,male,0.4167,8.5167,C,1
295,476,2,male,30.0,26.0,S,0
296,321,1,male,62.0,26.55,S,0
297,456,2,female,60.0,26.0,S,0
298,136,1,male,53.0,28.5,C,1
299,604,3,female,16.0,7.65,S,1
300,1218,3,male,30.0,8.05,S,0
302,1119,3,male,22.0,7.25,S,0
303,224,1,male,45.5,28.5,S,0
304,499,2,male,30.0,13.0,S,0
305,1127,3,male,19.0,7.8958,S,0
306,703,3,male,21.0,7.75,Q,0
307,656,3,female,33.0,15.85,S,1
308,897,3,male,33.0,7.775,S,0
309,288,1,female,48.0,25.9292,S,1
310,195,1,female,16.0,86.5,S,1
311,250,1,female,18.0,262.375,C,1
312,662,3,male,40.0,7.225,C,0
313,423,2,male,34.0,13.0,S,0
315,620,3,male,32.0,22.525,S,0
316,1269,3,male,33.0,9.5,S,0
317,904,3,male,23.0,7.8958,S,0
318,632,3,female,39.0,31.275,S,0
319,1096,3,male,2.0,21.075,S,0
320,25,1,male,25.0,26.0,C,0
321,77,1,male,37.0,83.1583,C,0
323,799,3,male,18.0,7.7958,S,0
324,334,2,male,28.0,10.5,S,0
325,787,3,male,16.0,7.775,S,0
326,392,2,female,24.0,27.7208,C,1
327,1270,3,male,28.0,9.5,S,0
328,169,1,female,50.0,28.7125,C,0
330,700,3,male,17.0,8.6625,S,0
331,822,3,male,41.0,7.85,S,0
332,1060,3,female,18.0,7.775,S,1
333,969,3,female,30.0,15.55,S,0
334,231,1,male,52.0,30.5,S,1
336,846,3,male,20.0,9.5,S,0
338,460,2,female,24.0,27.0,S,1
339,66,1,female,36.0,262.375,C,1
341,631,3,male,26.0,7.775,S,0
342,609,3,male,26.0,8.05,S,0
344,845,3,female,24.0,15.85,S,1
345,222,1,male,28.5,27.7208,C,0
346,234,1,male,38.0,0.0,S,0
348,511,2,male,62.0,9.6875,Q,0
349,215,1,male,58.0,113.275,C,0
350,925,3,male,44.0,8.05,S,0
351,32,1,female,30.0,164.8667,S,1
352,701,3,male,17.0,8.6625,S,0
353,332,2,male,23.0,10.5,S,0
354,127,1,female,35.0,53.1,S,1
355,979,3,male,51.0,7.0542,S,0
356,539,2,male,27.0,15.0333,C,0
358,267,1,male,56.0,30.6958,C,0
359,501,2,female,13.0,19.5,S,1
361,606,3,male,20.0,7.925,S,1
363,585,2,male,27.0,26.0,S,0
364,588,2,female,4.0,23.0,S,1
365,1157,3,male,18.0,20.2125,S,0
366,599,2,female,24.0,13.0,S,0
367,990,3,male,29.0,7.925,S,0
369,251,1,female,21.0,262.375,C,1
371,823,3,female,31.0,20.525,S,1
372,1051,3,male,33.0,8.05,S,0
373,919,3,male,18.5,7.2292,C,0
374,23,1,female,42.0,227.525,C,1
375,54,1,male,11.0,120.0,S,1
377,216,1,female,19.0,26.2833,S,1
378,1046,3,male,22.0,7.8958,S,0
379,151,1,male,27.0,76.7292,C,1
383,192,1,female,58.0,146.5208,C,1
384,779,3,female,24.0,7.75,Q,0
386,694,3,male,19.0,6.75,Q,0
387,105,1,female,36.0,31.6792,C,0
389,1031,3,male,34.0,8.05,S,0
390,513,2,female,14.0,30.0708,C,1
393,811,3,female,48.0,34.375,S,0
394,536,2,female,32.0,13.0,S,1
395,416,2,male,16.0,26.0,S,0
397,247,1,female,54.0,59.4,C,1
399,427,2,male,0.6667,14.5,S,1
400,695,3,female,18.0,7.8792,Q,0
402,1087,3,male,28.0,7.8542,S,0
403,17,1,female,50.0,247.5208,C,1
404,93,1,male,53.0,81.8583,S,1
405,406,2,male,40.0,26.0,S,0
406,578,2,male,30.0,21.0,S,0
408,633,3,male,20.0,7.8542,S,0
409,839,3,male,19.0,7.775,S,0
410,755,3,male,17.0,8.05,S,0
411,649,3,male,23.0,7.05,S,0
413,769,3,male,22.0,7.25,S,0
414,1075,3,male,23.0,9.225,S,0
417,894,3,male,4.0,11.1333,S,1
418,146,1,female,49.0,76.7292,C,1
419,785,3,female,22.0,13.9,S,1
420,733,3,male,9.0,15.9,S,1
422,441,2,female,55.0,16.0,S,1
423,664,3,male,20.0,7.2292,C,1
424,838,3,male,28.0,7.925,S,0
425,628,3,female,11.0,31.275,S,0
427,651,3,male,30.0,7.225,C,0
428,696,3,female,21.0,8.6625,S,0
429,740,3,male,17.0,8.6625,S,0
430,1171,3,male,14.5,69.55,S,0
431,390,2,male,17.0,73.5,S,0
435,972,3,male,28.0,56.4958,S,0
436,35,1,female,45.0,262.375,C,1
437,282,1,female,52.0,78.2667,C,1
438,440,2,female,48.0,65.0,S,1
439,439,2,male,49.0,65.0,S,0
440,554,2,male,26.0,13.0,S,0
441,934,3,female,4.0,22.025,S,1
442,932,3,female,22.0,8.6625,S,0
443,544,2,male,34.0,21.0,S,0
444,95,1,female,54.0,81.8583,S,1
445,1015,3,male,55.5,8.05,S,0
446,354,2,male,25.0,26.0,S,0
447,305,1,male,60.0,26.55,S,0
448,723,3,male,31.0,7.7333,Q,0
450,488,2,male,50.0,26.0,S,0
452,611,3,male,0.8333,9.35,S,1
454,605,3,male,25.0,7.65,S,1
456,30,1,male,45.0,35.5,S,0
457,636,3,female,18.0,17.8,S,0
458,1286,3,female,38.0,7.2292,C,1
459,475,2,female,26.0,26.0,S,0
460,841,3,female,17.0,7.7333,Q,0
461,862,3,female,22.0,8.9625,S,1
462,828,3,female,10.0,46.9,S,0
463,265,1,male,28.0,35.5,S,1
464,285,1,male,67.0,221.7792,S,0
465,667,3,female,27.0,7.8792,Q,0
466,1238,3,male,25.0,7.7958,S,1
467,1274,3,male,31.0,18.0,S,0
468,45,1,male,45.0,26.55,S,0
469,627,3,female,9.0,31.275,S,0
470,721,3,male,36.0,7.4958,S,0
471,676,3,male,18.0,7.75,S,0
472,434,2,female,7.0,26.25,S,1
473,270,1,female,18.0,60.0,S,1
474,76,1,female,39.0,83.1583,C,1
476,340,2,female,4.0,39.0,S,1
477,593,2,female,33.0,27.75,S,1
478,458,2,female,17.0,10.5,S,1
479,1146,3,female,39.0,29.125,Q,0
483,1026,3,female,27.0,12.475,S,1
484,486,2,male,24.0,10.5,S,0
485,502,2,female,41.0,19.5,S,1
486,655,3,male,32.0,15.85,S,0
487,615,3,male,20.0,7.925,S,0
488,85,1,female,38.0,71.2833,C,1
489,164,1,male,35.0,26.55,C,1
490,409,2,male,36.0,13.0,S,0
491,746,3,male,29.0,7.75,Q,1
492,851,3,female,45.0,14.1083,S,1
493,1227,3,female,22.0,9.8375,S,0
494,777,3,male,19.0,8.05,S,1
495,610,3,female,40.0,9.475,S,0
496,743,3,female,22.0,10.5167,S,0
497,603,3,female,35.0,20.25,S,1
498,1190,3,male,25.0,9.5,S,1
499,279,1,male,62.0,26.55,S,0
500,728,3,male,43.0,8.05,S,0
501,551,2,female,50.0,10.5,S,1
502,132,1,male,24.0,79.2,C,0
503,453,2,male,21.0,73.5,S,0
504,642,3,male,13.0,31.3875,S,0
505,396,2,female,34.0,23.0,S,1
508,714,3,male,32.0,56.4958,S,1
509,653,3,female,13.0,7.2292,C,1
510,936,3,female,26.0,22.025,S,1
511,357,2,male,42.0,13.0,S,0
512,791,3,male,17.0,7.2292,C,0
513,1126,3,female,28.0,7.8958,S,0
515,110,1,male,30.0,27.75,C,0
516,1065,3,male,21.0,7.8,S,0
517,426,2,male,30.0,13.0,S,0
518,455,2,male,63.0,26.0,S,0
520,34,1,male,42.0,26.55,S,0
522,707,3,male,28.0,7.7958,S,0
524,732,3,male,30.0,8.05,S,0
526,463,2,male,22.0,31.5,S,0
528,1220,3,male,32.0,8.05,S,0
529,81,1,male,70.0,71.0,S,0
530,834,3,male,32.0,8.3625,S,0
531,373,2,female,28.0,26.0,S,1
532,677,3,male,26.0,7.8958,S,0
533,671,3,male,22.0,9.35,S,0
535,4,1,female,25.0,151.55,S,0
536,1231,3,female,29.0,10.4625,S,0
537,1156,3,female,2.0,20.2125,S,0
538,471,2,female,45.0,13.5,S,1
539,635,3,male,25.0,17.8,S,0
541,1153,3,female,47.0,14.5,S,0
542,749,3,female,28.0,14.4,S,0
543,445,2,female,18.0,13.0,S,0
545,587,2,male,2.0,23.0,S,1
546,52,1,male,28.0,47.1,S,0
547,830,3,male,14.0,46.9,S,0
550,245,1,female,33.0,86.5,S,1
551,278,1,male,32.0,30.5,C,1
552,616,3,male,24.0,7.05,S,0
553,221,1,male,65.0,61.9792,C,0
554,1278,3,male,20.0,7.8542,S,0
557,117,1,female,30.0,56.9292,C,1
559,191,1,male,30.0,45.5,S,0
560,675,3,male,21.0,7.775,S,0
561,1118,3,male,25.0,7.925,S,0
563,567,2,male,25.0,10.5,S,0
564,790,3,male,39.0,7.2292,C,0
565,711,3,male,28.0,7.25,S,0
566,985,3,male,24.0,7.1417,S,1
568,623,3,female,6.0,31.275,S,0
570,380,2,female,22.0,10.5,S,1
571,890,3,male,22.0,7.7958,S,0
572,1165,3,male,25.0,7.225,C,0
573,172,1,male,50.0,26.0,S,0
574,1104,3,male,16.0,39.6875,S,0
575,521,2,female,29.0,10.5,S,1
577,472,2,male,57.0,12.35,Q,0
578,916,3,female,4.0,13.4167,C,1
579,370,2,female,25.0,30.0,S,1
580,207,1,female,33.0,90.0,Q,1
581,422,2,male,24.0,13.0,S,0
582,442,2,male,24.0,73.5,S,0
583,122,1,female,22.0,49.5,C,1
584,212,1,male,37.0,29.7,C,0
585,494,2,female,24.0,37.0042,C,1
586,963,3,male,36.0,0.0,S,0
587,389,2,male,32.0,13.0,S,0
589,1209,3,female,2.0,27.9,S,0
590,1056,3,male,12.0,11.2417,C,1
591,375,2,male,28.0,13.0,S,0
593,1067,3,female,22.0,7.75,S,1
594,404,2,male,21.0,13.0,S,0
595,739,3,male,44.0,16.1,S,0
596,1257,3,female,9.0,15.2458,C,1
597,650,3,female,17.0,14.4583,C,0
599,1300,3,female,15.0,14.4542,C,1
601,547,2,male,23.0,15.0458,C,0
602,175,1,male,41.0,51.8625,S,0
603,349,2,female,24.0,13.0,S,1
604,376,2,male,24.0,10.5,S,1
606,1025,3,male,6.0,12.475,S,1
607,378,2,male,31.0,26.25,S,0
611,1236,3,male,14.0,9.225,S,1
612,951,3,male,29.0,7.775,S,0
613,394,2,male,18.0,73.5,S,0
614,861,3,female,23.0,7.925,S,0
615,452,2,female,29.0,26.0,S,1
617,1152,3,male,50.0,14.5,S,0
618,792,3,male,15.0,7.2292,C,0
619,515,2,male,3.0,26.0,S,1
622,319,1,female,31.0,134.5,C,1
623,286,1,female,63.0,221.7792,S,0
