passenger_id,pclass,sex,age,fare,embarked,survived
699,3,male,38.0,8.6625,S,0
1267,3,female,30.0,24.15,S,0
449,2,female,54.0,23.0,S,1
576,2,male,40.0,13.0,S,0
1083,3,male,28.0,22.525,S,0
898,3,male,19.0,0.0,S,0
560,2,female,30.0,13.0,S,1
1079,3,female,22.0,7.775,S,1
908,3,female,21.0,9.825,S,0
313,1,male,27.0,211.5,C,0
43,1,female,60.0,76.2917,C,1
233,1,female,56.0,83.1583,C,1
446,2,female,20.0,23.0,S,1
602,3,male,16.0,20.25,S,0
884,3,male,48.0,7.8542,S,0
497,2,male,40.0,16.0,S,0
36,1,female,22.0,55.0,S,1
1088,3,male,32.0,7.775,S,1
978,3,male,27.0,8.6625,S,1
438,2,female,24.0,65.0,S,1
766,3,male,25.0,7.8958,S,0
661,3,female,18.0,8.05,S,1
556,2,male,27.0,26.0,S,0
1008,3,female,35.0,7.75,Q,0
575,2,female,27.0,21.0,S,0
162,1,male,42.0,52.0,S,0
737,3,male,19.0,8.1583,S,0
420,2,male,21.0,11.5,S,0
601,3,male,13.0,20.25,S,0
877,3,female,27.0,7.925,S,0
249,1,male,13.0,262.375,C,1
407,2,female,29.0,26.0,S,1
1169,3,male,38.5,7.25,S,0
275,1,female,40.0,134.5,C,1
87,1,male,27.0,30.5,S,1
148,1,male,45.0,83.475,S,0
1239,3,male,34.0,8.05,S,0
689,3,male,22.0,7.25,S,0
330,2,male,57.0,13.0,S,0
540,2,female,2.0,26.0,S,1
139,1,female,58.0,153.4625,S,1
1148,3,male,35.0,7.125,S,0
817,3,male,22.0,8.05,S,0
142,1,male,46.0,79.2,C,0
570,2,female,50.0,10.5,S,1
55,1,female,14.0,120.0,S,1
50,1,female,58.0,512.3292,C,1
447,2,male,23.0,11.5,S,0
173,1,male,32.5,211.5,C,0
719,3,male,18.0,8.05,S,1
273,1,male,6.0,134.5,C,1
710,3,female,37.0,7.75,Q,0
762,3,male,1.0,20.575,S,1
950,3,male,29.0,9.4833,S,0
268,1,male,24.0,60.0,S,0
355,2,female,36.0,13.0,S,1
504,2,male,39.0,13.0,S,0
57,1,female,36.0,120.0,S,1
712,3,male,24.0,8.05,S,0
600,3,male,42.0,7.55,S,0
821,3,male,33.0,20.525,S,0
634,3,male,26.0,7.8958,S,0
970,3,male,20.0,7.925,S,1
1093,3,male,16.0,9.2167,S,0
848,3,male,41.0,14.1083,S,0
182,1,female,30.0,106.425,C,1
185,1,male,42.0,26.55,S,0
716,3,male,26.0,14.4542,C,0
722,3,male,24.0,7.4958,S,0
744,3,male,19.0,10.1708,S,0
1091,3,female,20.0,8.6625,S,0
1139,3,male,38.0,7.8958,S,0
824,3,male,38.0,7.05,S,0
296,1,female,39.0,110.8833,C,1
708,3,male,24.0,7.8542,S,0
698,3,male,18.0,8.6625,S,0
938,3,male,18.0,7.8542,S,0
150,1,male,40.0,0.0,S,0
1304,3,female,14.5,14.4542,C,0
793,3,male,47.0,7.25,S,0
704,3,male,21.0,8.05,S,0
399,2,male,42.0,32.5,S,0
1228,3,male,31.0,7.925,S,1
448,2,male,36.0,13.0,S,0
761,3,male,16.0,9.5,S,0
385,2,male,8.0,36.75,S,1
496,2,male,30.0,13.0,S,0
229,1,female,17.0,108.9,C,1
170,1,male,49.0,0.0,S,1
947,3,female,22.0,7.25,S,1
668,3,male,22.0,8.05,S,0
1237,3,male,24.0,7.7958,S,0
764,3,male,26.0,20.575,S,0
654,3,male,20.0,7.225,C,0
181,1,female,49.0,25.9292,S,1
1129,3,male,25.0,7.775,S,0
337,2,female,19.0,26.0,S,1
329,2,female,36.0,26.0,S,1
405,2,male,18.0,13.0,S,0
98,1,female,48.0,106.425,C,1
558,2,female,18.0,13.0,S,1
1130,3,female,18.0,7.775,S,0
309,1,female,31.0,164.8667,S,1
202,1,male,36.0,26.2875,S,1
827,3,male,11.0,46.9,S,0
186,1,female,55.0,27.7208,C,1
960,3,male,34.5,6.4375,C,0
408,2,male,18.0,10.5,S,0
546,2,female,28.0,13.0,S,1
356,2,male,25.0,13.0,S,0
1307,3,male,27.0,7.225,C,0
1049,3,male,20.0,15.7417,C,1
86,1,male,51.0,26.55,S,1
343,2,male,34.0,13.0,S,1
896,3,male,49.0,0.0,S,0
419,2,male,21.0,11.5,S,0
433,2,male,30.0,10.5,S,0
68,1,male,45.0,29.7,C,1
763,3,female,0.1667,20.575,S,1
782,3,male,65.0,7.75,Q,0
228,1,male,18.0,108.9,C,0
850,3,male,21.0,7.8542,S,0
751,3,male,25.0,7.8958,S,0
1301,3,male,45.5,7.225,C,0
508,2,male,54.0,14.0,S,0
83,1,female,64.0,26.55,S,1
592,2,male,36.0,27.75,S,0
814,3,male,25.0,7.7417,Q,0
1272,3,male,47.0,9.0,S,0
1111,3,male,0.75,13.775,S,0
138,1,male,38.0,153.4625,S,0
720,3,male,24.0,7.25,Q,0
193,1,female,15.0,211.3375,S,1
870,3,female,27.0,7.925,S,1
180,1,female,39.0,211.3375,S,1
485,2,male,36.0,12.875,C,0
949,3,male,26.0,56.4958,S,1
14,1,male,80.0,30.0,S,1
3,1,male,30.0,151.55,S,0
1281,3,male,22.0,9.0,S,0
624,3,female,2.0,31.275,S,0
868,3,male,43.0,6.45,S,0
327,2,male,25.0,10.5,S,0
211,1,male,47.0,42.4,S,0
549,2,male,3.0,18.75,S,1
673,3,male,20.0,4.0125,C,0
525,2,male,23.0,10.5,S,0
1068,3,male,61.0,6.2375,S,0
741,3,male,22.5,7.225,C,0
395,2,female,18.0,23.0,S,1
